,ttype1_percentage_successful_subtasks,ttype23_percentage_successful_subtasks,ttype24_percentage_successful_subtasks,ttype25_percentage_successful_subtasks,ttype26_percentage_successful_subtasks,ttype47_percentage_successful_subtasks,ttype49_percentage_successful_subtasks
0,100,90,100,100,50,90,80
1,100,100,70,100,60,70,80
2,60,50,70,20,60,60,60
3,20,70,70,40,60,70,90
4,50,100,100,100,90,70,90
5,30,40,80,80,90,90,50
6,90,100,100,100,100,80,50
7,50,40,70,50,60,80,80
,,,,,,,
,,,,,,,
,,,82.5,73.75,71.25,76.25,72.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ttype1_percentage_successful_subtasks,ttype23_percentage_successful_subtasks,ttype47_percentage_successful_subtasks,,,,
,100,90,90,,,,
,100,100,70,,,,
,60,50,60,,,,
,20,70,70,,,,
,50,100,70,,,,
,30,40,90,,,,
,90,100,80,,,,
,50,40,80,,,,
,,,,,,,
,task type 1,task type 2,task type 4,,,,
,62.5,73.75,76.25,,,,
,31.0529501704059,27.222627143085,10.6066017177982,,,,
