task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
1,1507211215,651280274,1507211221,383697070,5.7324168682,SUCCESS,human
2,1507211236,329728165,1507211252,383568618,16.0538403988,SUCCESS,human
3,1507211266,143400386,1507211280,384709352,14.2413089275,SUCCESS,human
4,1507211295,763655309,1507211307,382727579,11.6190721989,SUCCESS,human
5,1507211321,855865027,1507211331,382984715,9.5271196365,SUCCESS,human
6,1507211345,716358063,1507211354,382349292,8.6659913063,SUCCESS,human
7,1507211370,88833402,1507211380,382273949,9.4939398766,SUCCESS,human
8,1507211395,127038462,1507211404,382437431,9.2553989887,SUCCESS,human
9,1507211463,743292593,1507211495,980804999,32.2375123501,FAIL,''
10,1507211514,369574757,1507211535,382432760,21.012857914,SUCCESS,human
11,1507211551,415846971,1507211561,381860066,9.9660129547,SUCCESS,human
12,1507211575,218833693,1507211607,615022091,32.3961884975,SUCCESS,robot
13,1507211626,819556856,1507211659,213700774,32.3941438198,SUCCESS,robot
14,1507211672,760956737,1507211685,381557449,12.6206007004,SUCCESS,human
15,1507211699,843042606,1507211725,381436725,25.5383942127,SUCCESS,robot
16,1507211745,92360033,1507211777,280621174,31.357020855,FAIL,''
17,1507211791,255139885,1507211800,381790478,9.1266505718,SUCCESS,human
18,1507211813,428744080,1507211850,380771919,36.9520277977,SUCCESS,robot
19,1507211864,311386702,1507211887,381725853,23.0703392029,SUCCESS,human
20,1507211905,560016228,1507211937,830870882,32.2708547115,FAIL,''
21,1507211958,351437326,1507211990,636411570,32.2849743366,SUCCESS,robot
22,1507212014,301151552,1507212031,381700023,17.0805485249,SUCCESS,human
23,1507212045,250429157,1507212077,846860106,32.5964310169,SUCCESS,robot
24,1507212093,631104449,1507212125,846484648,32.2153801918,FAIL,''
25,1507212142,329486830,1507212159,381807521,17.0523207188,SUCCESS,human
26,1507212173,551396202,1507212208,381795152,34.8303990364,SUCCESS,robot
27,1507212239,44020127,1507212259,381735101,19.9415338039,SUCCESS,human
28,1507212278,824736223,1507212311,381802298,32.5570662022,SUCCESS,robot
29,1507212401,313153593,1507212433,764646775,32.4514932632,FAIL,''
30,1507212446,929523817,1507212467,382200016,20.4526762962,SUCCESS,human
31,1507212565,842601674,1507212598,167980351,32.3253786564,FAIL,''
32,1507212611,968814907,1507212644,350544584,32.3817298412,FAIL,''
33,1507212670,243377747,1507212707,382075050,37.1386973858,SUCCESS,robot
34,1507212721,890610502,1507212744,383011488,22.492401123,SUCCESS,human
35,1507212862,846481661,1507212895,398083576,32.5516021252,FAIL,''
36,1507212908,815590312,1507212942,382028188,33.5664377213,FAIL,''
37,1507212982,386192383,1507213014,898653139,32.5124607086,FAIL,''
38,1507213028,504831581,1507213060,932249834,32.427418232,FAIL,''
39,1507213141,588694933,1507213173,949672720,32.3609776497,FAIL,''
40,1507213187,374321657,1507213219,733838993,32.3595173359,FAIL,''
