task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.88,100,0
2,5.7624,100,0
3,5.88,100,0
4,5.88,100,0
5,5.88,100,0
6,5.88,100,0
7,5.88,100,0
8,5.88,100,0
9,5.88,100,0
10,5.88,100,0
11,5.7624,100,0
12,5.7624,100,0
13,5.88,100,0
14,5.88,100,0
15,5.64715,25,0
16,5.88,100,0
17,5.88,100,0
18,5.88,100,0
19,5.53421,40,0
20,5.88,100,0
21,5.53421,100,0
22,-2.7671,40,0
23,5.53421,50,0
24,-5.59296,60,1
25,-2.65753,71.4285714286,0
26,5.64715,100,0
27,-2.71176,60,0
28,5.88,100,0
29,5.88,100,0
30,5.53421,60,0
31,5.53421,60,0
32,5.7624,66.6666666667,0
33,5.88,50,0
34,5.53421,60,0
35,5.53421,60,0
36,5.64715,75,0
37,5.88,100,0
38,5.53421,60,0
39,5.7624,100,0
40,5.64715,100,0
,,,
,,total_est_accuracy,83.4523809524
,,avg. reward,4.84162325
,,help_est_accr,75
,,total warnings received,1
